,time,power
0,09:18:54.338000Z,0.2918625369115011
1,09:18:54.840000Z,2.4005811650648887
2,09:18:55.343000Z,6.506085005904202
3,09:18:55.849000Z,3.969374948468117
4,09:18:56.352000Z,1.8968531756073244
5,09:18:56.854000Z,1.4564540885908543
6,09:18:57.358000Z,0.0006947227475009565
7,09:18:57.861000Z,0.0008414532632371654
8,09:18:58.364000Z,0.0008779153468068711
9,09:18:58.868000Z,0.0009384812242547911
10,09:18:59.371000Z,0.001003777786758494
11,09:18:59.873000Z,0.001172993853843651
12,09:19:00.376000Z,0.0009169247974256295
13,09:19:00.878000Z,0.0009238890595675103
14,09:19:01.381000Z,0.0011465997062908451
15,09:19:01.884000Z,0.0010246759993292772
16,09:19:02.387000Z,0.0009145330367795033
17,09:19:02.890000Z,0.0011139937607925398
18,09:19:03.393000Z,0.0011148416146875813
19,09:19:03.904000Z,0.0011273590100989005
20,09:19:04.408000Z,0.006107468158276763
21,09:19:04.911000Z,0.0009186028189083702
22,09:19:05.414000Z,0.0010370907116935713
23,09:19:05.918000Z,0.001067594121158392
24,09:19:06.421000Z,0.0008773508951240036
25,09:19:06.924000Z,0.0008937806406476954
26,09:19:07.427000Z,0.0008881170118258265
27,09:19:07.929000Z,0.0009553919933924553
28,09:19:08.432000Z,0.001121552126845251
29,09:19:08.936000Z,0.024755126123535802
30,09:19:09.438000Z,0.0007373885673672408
31,09:19:09.941000Z,0.0007422139057672233
32,09:19:10.443000Z,0.0007499470284495606
33,09:19:10.946000Z,0.0007850441918061163
34,09:19:11.449000Z,0.000873043621120177
35,09:19:11.960000Z,0.0011116239199371824
36,09:19:12.463000Z,0.0008854441287718935
37,09:19:12.966000Z,0.0009106424435398966
38,09:19:13.468000Z,0.0009368416272999371
39,09:19:13.971000Z,0.0008896165374178419
40,09:19:14.473000Z,0.0009333477398457277
41,09:19:14.976000Z,0.0010640473629784952
42,09:19:15.479000Z,0.0009028650955866361
43,09:19:15.981000Z,0.0009595341748724283
44,09:19:16.483000Z,0.0009260055094337535
45,09:19:16.986000Z,0.0010293021641544996
46,09:19:17.489000Z,0.0009706607455255147
47,09:19:17.992000Z,0.0010289566613452367
48,09:19:18.495000Z,0.002399149021295719
49,09:19:18.997000Z,0.0018629076544789266
50,09:19:19.501000Z,0.001595266718882376
51,09:19:20.011000Z,0.0014278102726015347
52,09:19:20.513000Z,0.002175195090399519
53,09:19:21.016000Z,0.0013270017818148286
54,09:19:21.518000Z,0.000882904942100989
55,09:19:22.022000Z,0.0010210497947764378
56,09:19:22.525000Z,0.0042311244237830704
57,09:19:23.028000Z,0.0010980848991707566
58,09:19:23.532000Z,0.0008093978267750693
59,09:19:24.035000Z,0.001162544262983886
60,09:19:24.537000Z,0.0023009879551310762
61,09:19:25.040000Z,0.0008621610891892059
62,09:19:25.543000Z,0.001002677879548131
63,09:19:26.045000Z,0.0010066271455840675
64,09:19:26.549000Z,0.0010703178791790892
65,09:19:27.052000Z,0.0010760367510165014
66,09:19:27.561000Z,0.0008855581815283468
67,09:19:28.064000Z,0.0009122209900741594
68,09:19:28.567000Z,0.0010902663896069002
69,09:19:29.070000Z,0.001044680066313769
70,09:19:29.573000Z,0.0011004235314963197
71,09:19:30.075000Z,0.0014974301569968328
72,09:19:30.578000Z,0.0009115551317131906
73,09:19:31.080000Z,0.0011016457474959628
74,09:19:31.582000Z,0.0009641337061657335
75,09:19:32.084000Z,0.000896433314249529
76,09:19:32.587000Z,0.0011010911609609835
77,09:19:33.090000Z,0.0009361450897526621
78,09:19:33.593000Z,0.0012915414488387494
79,09:19:34.096000Z,0.0009070427165505253
80,09:19:34.599000Z,0.0009411285310310626
81,09:19:35.102000Z,0.000793679904918011
82,09:19:35.606000Z,0.0007928196049909087
83,09:19:36.115000Z,0.0015499863781206638
84,09:19:36.619000Z,0.0008550333076055212
85,09:19:37.121000Z,0.0008971307937603872
86,09:19:37.624000Z,0.0010208470846609008
87,09:19:38.129000Z,0.0009598343973824963
88,09:19:38.632000Z,0.0009368751495379567
89,09:19:39.135000Z,0.0008967845748583151
90,09:19:39.638000Z,0.0008968992295771695
91,09:19:40.140000Z,0.0011948567936067595
92,09:19:40.643000Z,0.0013384985044698084
93,09:19:41.146000Z,0.0010705411270139566
94,09:19:41.649000Z,0.0009546972145731444
95,09:19:42.152000Z,0.0008627466569542195
96,09:19:42.655000Z,0.0010650609810368243
97,09:19:43.157000Z,0.0010278738366449598
98,09:19:43.659000Z,0.0008871994281479446
99,09:19:44.162000Z,0.0008888327196713358
100,09:19:44.665000Z,0.0009231315712052475
101,09:19:45.168000Z,0.0008817557281213135
102,09:19:45.671000Z,0.001262982625286571
103,09:19:46.174000Z,0.0008929638396518066
104,09:19:46.677000Z,0.0010012564581286354
105,09:19:47.181000Z,0.0009851083673207994
106,09:19:47.684000Z,0.0010858762972049633
107,09:19:48.187000Z,0.0008588959704031519
108,09:19:48.690000Z,0.000714255067283441
109,09:19:49.193000Z,0.0008341846574298268
110,09:19:49.697000Z,0.001554096653941199
111,09:19:50.200000Z,0.0012721031109049694
112,09:19:50.703000Z,0.001528407011476137
113,09:19:51.206000Z,0.0013640623962854468
114,09:19:51.710000Z,0.0013099005798858727
115,09:19:52.218000Z,0.0013255082884071137
116,09:19:52.720000Z,0.0013301442473592235
117,09:19:53.224000Z,0.0013323262430542267
118,09:19:53.726000Z,0.0012768858581945586
119,09:19:54.228000Z,0.001359757144127404
120,09:19:54.731000Z,0.0013482237564277275
121,09:19:55.233000Z,0.0012916639458147132
